Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,16735.000000,16735.000000,16735.000000,16735.000000,16133.820313,0
2012-01-03,16460.000000,17097.000000,16460.000000,16962.000000,16352.665039,763785
2012-01-04,17000.000000,17243.000000,16762.000000,17100.000000,16485.708984,1031873
2012-01-05,17050.000000,17250.000000,16922.000000,17050.000000,16437.505859,1097387
2012-01-06,17045.000000,17386.000000,17045.000000,17303.000000,16681.417969,790574
2012-01-09,17319.000000,17350.000000,16869.000000,17025.000000,16413.402344,1529789
2012-01-10,17150.000000,17200.000000,16950.000000,17125.000000,16509.810547,1579612
2012-01-11,17165.000000,17291.000000,17100.000000,17100.000000,16485.708984,1612064
2012-01-12,17180.000000,17350.000000,17030.000000,17100.000000,16485.708984,1359280
2012-01-13,17136.000000,17261.000000,16634.000000,16690.000000,16090.438477,1658932
2012-01-16,16600.000000,16990.000000,16588.000000,16801.000000,16197.449219,932575
2012-01-17,17067.000000,17580.000000,16960.000000,17580.000000,16948.466797,1327051
2012-01-18,17400.000000,17679.000000,16977.000000,17145.000000,16529.093750,2646762
2012-01-19,17265.000000,17328.000000,16670.000000,17192.000000,16574.406250,4529893
2012-01-20,17199.000000,17799.000000,17010.000000,17799.000000,17159.599609,2577303
2012-01-23,17739.000000,17740.000000,17451.000000,17601.000000,16968.712891,1566568
2012-01-24,17550.000000,17590.000000,17359.000000,17560.000000,16929.183594,1093607
2012-01-25,17577.000000,17680.000000,17310.000000,17449.000000,16822.173828,949815
2012-01-26,17688.000000,17998.000000,17400.000000,17998.000000,17351.449219,2046568
2012-01-27,17657.000000,18083.000000,17651.000000,17920.000000,17276.251953,1145019
2012-01-30,17757.000000,17920.000000,17104.000000,17427.000000,16800.960938,2169552
2012-01-31,17500.000000,17858.000000,16920.000000,17169.000000,16552.230469,4718109
2012-02-01,17100.000000,17585.000000,17025.000000,17506.000000,16877.125000,2729134
2012-02-02,17350.000000,17638.000000,17021.000000,17068.000000,16454.857422,4167925
2012-02-03,17087.000000,17303.000000,16677.000000,16797.000000,16193.593750,4251567
2012-02-06,16900.000000,16979.000000,16610.000000,16770.000000,16167.563477,1943750
2012-02-07,16707.000000,16988.000000,16707.000000,16799.000000,16195.522461,1203596
2012-02-08,16880.000000,16941.000000,16650.000000,16900.000000,16292.894531,2149648
2012-02-09,16760.000000,16899.000000,16621.000000,16795.000000,16191.666992,2867953
2012-02-10,16675.000000,16741.000000,16451.000000,16544.000000,15949.682617,1982710
2012-02-13,16601.000000,16898.000000,16601.000000,16800.000000,16196.487305,1356140
2012-02-14,16698.000000,17001.000000,16650.000000,16800.000000,16196.487305,1403359
2012-02-15,16850.000000,16994.000000,16429.000000,16479.000000,15887.018555,2768884
2012-02-16,16440.000000,16440.000000,15716.000000,15819.000000,15250.727539,5208059
2012-02-17,16000.000000,16299.000000,15949.000000,16299.000000,15713.484375,3362928
2012-02-20,16382.000000,16469.000000,16226.000000,16415.000000,15825.317383,1855571
2012-02-21,16415.000000,16427.000000,16252.000000,16305.000000,15719.269531,2692486
2012-02-22,16385.000000,16476.000000,16040.000000,16101.000000,15522.596680,4626725
2012-02-23,16121.000000,16713.000000,16070.000000,16620.000000,16022.952148,3954654
2012-02-24,16550.000000,16760.000000,16375.000000,16760.000000,16157.923828,3692430
2012-02-27,16620.000000,16650.000000,16180.000000,16300.000000,15714.447266,1626099
2012-02-28,16299.000000,16642.000000,16236.000000,16390.000000,15801.213867,2534244
2012-02-29,16497.000000,16710.000000,16351.000000,16710.000000,16109.719727,1506514
2012-03-01,16700.000000,16700.000000,16392.000000,16613.000000,16016.206055,1564253
2012-03-02,16645.000000,16645.000000,16313.000000,16515.000000,15921.723633,1117694
2012-03-05,16310.000000,16485.000000,16139.000000,16318.000000,15861.458008,1133257
2012-03-06,16280.000000,16299.000000,15756.000000,15881.000000,15436.684570,2127039
2012-03-07,15801.000000,16090.000000,15762.000000,15901.000000,15456.125977,1107347
2012-03-08,15901.000000,16000.000000,15550.000000,15690.000000,15251.029297,8271818
2012-03-09,15700.000000,15930.000000,15570.000000,15718.000000,15278.246094,1272267
2012-03-12,15699.000000,15834.000000,15625.000000,15785.000000,15343.371094,1270769
2012-03-13,15912.000000,16058.000000,15756.000000,16001.000000,15553.328125,1476485
2012-03-14,16250.000000,16347.000000,16099.000000,16220.000000,15766.200195,3619679
2012-03-15,16325.000000,16500.000000,15914.000000,16050.000000,15600.956055,3347513
2012-03-16,16050.000000,16198.000000,15759.000000,15979.000000,15531.942383,2336187
2012-03-19,15815.000000,15970.000000,15700.000000,15790.000000,15348.231445,944197
2012-03-20,15790.000000,15887.000000,15630.000000,15770.000000,15328.791016,4100016
2012-03-21,15770.000000,15770.000000,15770.000000,15770.000000,15328.791016,0
2012-03-22,15684.000000,15735.000000,15456.000000,15700.000000,15260.750000,3965114
2012-03-23,15700.000000,15847.000000,15610.000000,15847.000000,15403.636719,2265710
2012-03-26,15717.000000,16038.000000,15650.000000,15860.000000,15416.273438,2358531
2012-03-27,16040.000000,16123.000000,15860.000000,16070.000000,15620.396484,1031996
2012-03-28,15952.000000,15992.000000,15676.000000,15820.000000,15377.391602,1875976
2012-03-29,15790.000000,15790.000000,15212.000000,15438.000000,15006.079102,2498121
2012-03-30,15560.000000,15776.000000,15025.000000,15110.000000,14687.255859,3803274
2012-04-02,15379.000000,15446.000000,14945.000000,15145.000000,14721.276367,2266665
2012-04-03,15199.000000,15393.000000,15037.000000,15295.000000,14867.081055,1662061
2012-04-04,15115.000000,15237.000000,14700.000000,14700.000000,14288.727539,2430319
2012-04-05,14775.000000,15082.000000,14700.000000,15030.000000,14609.494141,3257414
2012-04-06,15030.000000,15030.000000,15030.000000,15030.000000,14609.494141,0
2012-04-09,15030.000000,15030.000000,15030.000000,15030.000000,14609.494141,0
2012-04-10,14873.000000,15055.000000,14778.000000,15000.000000,14580.333984,1674891
