Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,11004.200195,11004.200195,11004.200195,11004.200195,9242.708984,0
2012-01-03,11007.000000,11312.200195,11007.000000,11244.500000,9444.543945,495620
2012-01-04,11244.500000,11318.700195,11132.200195,11132.200195,9350.218750,423784
2012-01-05,11132.200195,11308.500000,11065.500000,11266.799805,9463.271484,553044
2012-01-06,11307.599609,11404.099609,11095.099609,11289.000000,9481.918945,481168
2012-01-09,11390.099609,11469.900391,11133.200195,11308.500000,9498.298828,1047582
2012-01-10,11410.599609,11428.200195,11305.700195,11336.299805,9521.647461,616465
2012-01-11,11409.599609,11432.799805,11341.000000,11341.000000,9525.594727,562325
2012-01-12,11427.200195,11503.299805,11322.400391,11364.200195,9545.082031,721431
2012-01-13,11364.200195,11439.299805,11110.000000,11229.700195,9432.111328,1044680
2012-01-16,11225.000000,11317.799805,11180.500000,11317.799805,9506.110352,878746
2012-01-17,11364.200195,11408.700195,11115.500000,11155.400391,9369.705078,2068048
2012-01-18,11132.200195,11410.599609,11127.599609,11410.599609,9584.052734,1130255
2012-01-19,11426.299805,11523.700195,11348.400391,11472.700195,9636.214844,758941
2012-01-20,11472.700195,11596.099609,11399.400391,11596.099609,9739.859375,774553
2012-01-23,11548.799805,11701.799805,11465.299805,11572.900391,9720.375977,474156
2012-01-24,11596.099609,11596.099609,11353.000000,11457.900391,9623.783203,762342
2012-01-25,11503.299805,11519.099609,11341.900391,11417.000000,9589.431641,676122
2012-01-26,11494.000000,11635.099609,11468.099609,11550.599609,9701.644531,1074134
2012-01-27,11614.599609,11640.599609,11499.599609,11640.599609,9777.236328,759757
2012-01-30,11563.599609,11671.200195,11469.000000,11665.700195,9798.320313,897055
2012-01-31,11688.900391,11804.799805,11635.099609,11800.200195,9911.290039,1330947
2012-02-01,11966.200195,12055.299805,11735.200195,11923.599609,10014.937500,1254448
2012-02-02,11925.400391,12064.599609,11874.400391,11920.799805,10012.584961,1568286
2012-02-03,11957.900391,11969.000000,11869.799805,11967.200195,10051.555664,1023396
2012-02-06,11967.200195,11990.400391,11839.099609,11967.200195,10051.555664,784537
2012-02-07,11887.400391,11967.200195,11834.500000,11916.099609,10008.637695,754748
2012-02-08,11874.400391,11968.099609,11874.400391,11957.000000,10042.990234,1070530
2012-02-09,11967.200195,12082.200195,11914.299805,11946.799805,10034.421875,1447880
2012-02-10,11920.799805,11967.200195,11751.900391,11781.599609,9895.666016,577131
2012-02-13,11828.000000,11911.500000,11780.700195,11837.299805,9942.450195,704696
2012-02-14,11874.400391,11994.099609,11828.900391,11901.299805,9996.207031,1429230
2012-02-15,11985.700195,12021.000000,11854.000000,11854.000000,9956.477539,1200803
2012-02-16,11832.599609,12008.900391,11750.099609,11787.200195,9900.370117,478156
2012-02-17,11967.200195,11981.099609,11773.299805,11874.400391,9973.613281,438998
2012-02-20,11948.599609,11958.799805,11821.500000,11887.400391,9984.532227,555048
2012-02-21,11892.900391,11893.900391,11816.000000,11874.400391,9973.613281,467145
2012-02-22,11892.900391,11920.799805,11664.700195,11664.700195,9797.481445,509831
2012-02-23,11687.900391,11885.500000,11647.099609,11872.500000,9972.015625,787725
2012-02-24,11920.799805,12082.200195,11898.500000,12082.200195,10148.149414,987629
2012-02-27,11967.200195,12141.599609,11924.500000,11967.200195,10051.555664,598539
2012-02-28,11967.200195,12231.599609,11967.200195,12228.799805,10271.281250,713346
2012-02-29,12152.700195,12395.799805,12152.700195,12349.400391,10372.577148,920097
2012-03-01,12345.700195,12425.400391,12222.299805,12347.500000,10370.979492,701183
2012-03-02,12347.500000,12384.599609,12098.900391,12213.900391,10258.766602,1029843
2012-03-05,12380.000000,12380.000000,12200.900391,12291.900391,10324.282227,420120
2012-03-06,12282.599609,12282.599609,11953.200195,12004.299805,10082.717773,561728
2012-03-07,12041.400391,12106.299805,11897.599609,11922.599609,10014.094727,954307
2012-03-08,11930.099609,12134.099609,11875.299805,12100.799805,10163.771484,950420
2012-03-09,12222.299805,12252.000000,12100.799805,12245.500000,10285.308594,546002
2012-03-12,12182.400391,12325.200195,12182.400391,12245.500000,10285.308594,685720
2012-03-13,12245.500000,12523.799805,12245.500000,12431.000000,10441.114258,1059793
2012-03-14,12477.400391,12615.599609,12384.599609,12542.299805,10534.597656,1289077
2012-03-15,12524.700195,12745.500000,12389.299805,12389.299805,10406.087891,1793427
2012-03-16,12662.900391,12662.900391,12152.700195,12199.099609,10246.333984,1806966
2012-03-19,12120.200195,12268.700195,12027.500000,12097.000000,10160.581055,723326
2012-03-20,12097.000000,12175.900391,12022.799805,12144.400391,10200.391602,1203172
2012-03-21,12144.400391,12144.400391,12144.400391,12144.400391,10200.391602,0
2012-03-22,12265.900391,12291.900391,11944.900391,11967.200195,10051.555664,775326
2012-03-23,11967.200195,12041.400391,11822.400391,11917.099609,10009.474609,850024
2012-03-26,11874.400391,12162.000000,11874.400391,12069.200195,10137.229492,711160
2012-03-27,12337.299805,12527.500000,12208.400391,12495.900391,10495.625000,1456019
2012-03-28,12495.900391,12533.099609,12255.700195,12270.500000,10306.305664,547522
2012-03-29,12338.200195,12346.599609,12216.700195,12301.099609,10332.007813,600461
2012-03-30,12301.099609,12477.400391,12115.599609,12370.700195,10390.465820,713480
2012-04-02,12419.900391,12483.000000,12245.500000,12483.000000,10484.791992,399899
2012-04-03,12483.000000,12595.200195,12376.299805,12523.799805,10519.058594,1107352
2012-04-04,12521.000000,12521.000000,12245.500000,12245.500000,10285.308594,938011
2012-04-05,12246.400391,12377.200195,11956.000000,12320.599609,10348.386719,757487
2012-04-06,12320.599609,12320.599609,12320.599609,12320.599609,10348.386719,0
2012-04-09,12320.599609,12320.599609,12320.599609,12320.599609,10348.386719,0
2012-04-10,12159.200195,12290.900391,12159.200195,12213.000000,10258.010742,622598
2012-04-11,12153.599609,12241.799805,11949.500000,12013.500000,10090.447266,1911900
2012-04-12,12041.400391,12106.299805,11880.000000,12017.299805,10093.639648,1654029
2012-04-13,12059.900391,12105.400391,11990.400391,12079.400391,10145.796875,1241222
2012-04-16,11967.200195,11984.799805,11874.400391,11925.400391,10122.032227,870201
2012-04-17,11920.799805,12032.099609,11783.500000,11805.700195,10020.431641,1346175
2012-04-18,11950.500000,11950.500000,11809.500000,11828.000000,10039.362305,974215
2012-04-19,11925.400391,12049.700195,11851.200195,11911.500000,10110.233398,1469664
2012-04-20,11968.099609,12072.000000,11911.500000,12050.700195,10228.383789,2240439
2012-04-23,12046.000000,12075.700195,11906.900391,11906.900391,10106.330078,709517
2012-04-24,11934.700195,12101.700195,11880.900391,11995.000000,10181.105469,1907665
2012-04-25,12059.900391,12059.900391,11948.599609,12022.799805,10204.702148,1904767
2012-04-26,12023.799805,12222.299805,12023.799805,12189.799805,10346.448242,1163604
2012-04-27,12189.799805,12189.799805,12189.799805,12189.799805,10346.448242,0
2012-04-30,12189.799805,12230.599609,12059.900391,12213.900391,10366.903320,634008
2012-05-01,12213.900391,12213.900391,12213.900391,12213.900391,10366.903320,0
2012-05-02,12233.400391,12237.099609,12106.299805,12199.099609,10354.339844,706892
2012-05-03,12142.500000,12472.799805,12142.500000,12347.500000,10480.299805,1169126
2012-05-04,12396.700195,12614.700195,12362.400391,12523.799805,10629.939453,2024525
2012-05-07,12385.500000,12534.000000,12316.000000,12534.000000,10638.598633,1098656
2012-05-08,12529.299805,12529.299805,12245.500000,12245.500000,10393.725586,1191817
2012-05-09,12323.400391,12345.700195,12182.400391,12182.400391,10340.166992,857778
2012-05-10,12315.000000,12315.000000,12164.799805,12276.099609,10419.697266,764728
2012-05-11,12315.000000,12338.200195,12185.200195,12301.099609,10440.916992,503221
2012-05-14,12245.500000,12301.099609,12080.299805,12162.000000,10322.853516,560167
2012-05-15,12175.900391,12273.299805,12152.700195,12179.599609,10337.788086,570170
2012-05-16,12059.900391,12273.299805,12050.700195,12211.099609,10364.527344,793786
2012-05-17,12152.700195,12245.500000,12152.700195,12162.000000,10322.853516,706001
2012-05-18,12083.099609,12187.000000,12036.700195,12152.700195,10314.957031,1368374
2012-05-21,12200.900391,12283.500000,11956.000000,12032.099609,10212.593750,842520
2012-05-22,12164.799805,12281.599609,12098.000000,12281.599609,10424.366211,631276
2012-05-23,12199.099609,12244.500000,11967.200195,11970.900391,10160.651367,483940
2012-05-24,12059.900391,12220.400391,12052.500000,12129.500000,10295.267578,1084830
2012-05-25,12162.000000,12179.599609,12059.900391,12152.700195,10314.957031,542136
2012-05-28,12152.700195,12268.700195,12152.700195,12249.200195,10396.865234,515633
2012-05-29,12323.400391,12323.400391,12121.200195,12203.700195,10358.247070,640574
2012-05-30,12208.400391,12268.700195,12090.500000,12112.799805,10281.091797,1124069
2012-05-31,12189.799805,12326.200195,12078.500000,12239.000000,10388.208008,1037201
2012-06-01,12291.900391,12470.900391,12152.700195,12241.799805,10390.583008,1226836
2012-06-04,12199.099609,12342.900391,12134.099609,12189.799805,10346.448242,853065
2012-06-05,12207.400391,12380.000000,12097.000000,12245.500000,10393.725586,1226694
2012-06-06,12282.599609,12360.500000,12200.000000,12328.000000,10463.748047,1274247
2012-06-07,12399.500000,12570.200195,12348.400391,12477.400391,10590.557617,1156069
2012-06-08,12431.000000,12547.900391,12347.500000,12470.900391,10585.041016,1098139
2012-06-11,12491.299805,12635.099609,12362.400391,12431.000000,10551.173828,662755
2012-06-12,12305.799805,12648.099609,12305.799805,12606.299805,10699.964844,1072958
2012-06-13,12615.599609,12745.500000,12566.400391,12662.000000,10747.241211,806141
2012-06-14,12616.500000,12662.000000,12431.000000,12487.599609,10599.214844,839724
2012-06-15,12477.400391,12613.799805,12450.500000,12613.799805,10706.331055,794615
2012-06-18,12952.799805,13015.599609,12712.299805,12847.700195,10904.860352,1359445
2012-06-19,13040.099609,13040.099609,12858.500000,13003.799805,11037.354492,1095441
2012-06-20,12908.599609,13072.500000,12875.200195,12876.200195,10929.050781,913355
2012-06-21,12908.599609,13070.599609,12820.200195,12889.900391,10940.678711,1133894
2012-06-22,12761.299805,12956.700195,12761.299805,12859.500000,10914.876953,1086201
2012-06-25,12956.700195,12957.700195,12833.000000,12861.500000,10916.573242,628420
2012-06-26,12861.500000,13026.400391,12777.000000,12859.500000,10914.876953,926680
2012-06-27,12935.099609,13124.500000,12859.500000,12909.599609,10957.400391,1097198
2012-06-28,13020.500000,13027.400391,12763.299805,12763.299805,10833.222656,861560
2012-06-29,12898.799805,12933.099609,12687.700195,12907.599609,10955.700195,933729
2012-07-02,13020.500000,13055.799805,12785.900391,12926.299805,10971.573242,794134
2012-07-03,13075.500000,13247.200195,12899.700195,13234.500000,11233.167969,582258
2012-07-04,13250.200195,13389.599609,13249.200195,13350.299805,11331.456055,931709
2012-07-05,13399.400391,13570.200195,13350.299805,13489.700195,11449.776367,929225
2012-07-06,13489.700195,13726.299805,13486.799805,13722.400391,11647.287109,1381249
2012-07-09,13717.500000,13742.000000,13546.700195,13713.500000,11639.733398,1479153
2012-07-10,13664.400391,13718.400391,13606.500000,13713.500000,11639.733398,1925680
2012-07-11,13645.799805,13693.900391,13605.500000,13644.799805,11581.422852,990612
2012-07-12,13595.700195,13595.700195,13468.099609,13468.099609,11431.441406,597002
2012-07-13,13527.000000,13616.299805,13469.099609,13595.700195,11539.748047,2161125
2012-07-16,13566.299805,13732.200195,13482.799805,13620.299805,11560.625977,1228753
2012-07-17,13589.799805,13709.599609,13546.700195,13708.599609,11635.575195,1715933
2012-07-18,13708.599609,13708.599609,13572.200195,13654.599609,11589.740234,904701
2012-07-19,13731.200195,13731.200195,13480.900391,13555.500000,11505.625000,681846
2012-07-20,13546.700195,13682.099609,13400.400391,13493.599609,11453.086914,1060080
2012-07-23,13493.599609,13549.599609,13325.799805,13490.700195,11450.623047,624847
2012-07-24,13589.799805,13589.799805,13259.000000,13317.900391,11303.955078,910769
2012-07-25,13303.200195,13447.500000,13298.299805,13350.299805,11331.456055,749506
2012-07-26,13427.900391,13492.700195,13258.000000,13412.200195,11383.996094,869745
2012-07-27,13527.000000,13828.400391,13512.299805,13813.700195,11724.782227,1343011
2012-07-30,13839.200195,13974.599609,13743.000000,13841.099609,11748.036133,948729
2012-07-31,13841.099609,13870.599609,13669.400391,13830.299805,11738.871094,1209050
