Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,9875.000000,9875.000000,9875.000000,9875.000000,6772.607422,0
2012-01-03,9876.000000,10140.000000,9876.000000,10041.000000,6886.456543,3089937
2012-01-04,10100.000000,10170.000000,9970.000000,10100.000000,6926.920410,2324787
2012-01-05,10094.000000,10094.000000,9950.000000,9990.000000,6851.477539,3563019
2012-01-06,9985.000000,10069.000000,9944.000000,10069.000000,6905.660156,2946641
2012-01-09,10000.000000,10048.000000,9950.000000,10000.000000,6858.337891,4678729
2012-01-10,10000.000000,10059.000000,10000.000000,10050.000000,6892.627930,4332908
2012-01-11,10050.000000,10102.000000,10005.000000,10044.000000,6888.513672,4548181
2012-01-12,10045.000000,10113.000000,10015.000000,10100.000000,6926.920410,3799036
2012-01-13,10096.000000,10276.000000,10080.000000,10150.000000,6961.211914,5748631
2012-01-16,10120.000000,10250.000000,10119.000000,10250.000000,7029.794434,5306325
2012-01-17,10300.000000,10370.000000,10252.000000,10265.000000,7040.083008,4675325
2012-01-18,10274.000000,10345.000000,10229.000000,10325.000000,7081.233887,6070940
2012-01-19,10350.000000,10554.000000,10326.000000,10554.000000,7238.289063,6537442
2012-01-20,10549.000000,10623.000000,10443.000000,10600.000000,7269.837402,4527075
2012-01-23,10560.000000,10755.000000,10540.000000,10750.000000,7372.712891,3542739
2012-01-24,10696.000000,10700.000000,10522.000000,10600.000000,7269.837402,4723305
2012-01-25,10665.000000,10678.000000,10478.000000,10530.000000,7221.828125,2033069
2012-01-26,10600.000000,10736.000000,10553.000000,10616.000000,7280.809570,3009160
2012-01-27,10595.000000,10750.000000,10570.000000,10650.000000,7304.128418,3004454
2012-01-30,10586.000000,10630.000000,10472.000000,10627.000000,7288.354980,4502383
2012-01-31,10649.000000,10772.000000,10578.000000,10716.000000,7349.395020,4840207
2012-02-01,10636.000000,10800.000000,10601.000000,10720.000000,7352.137695,3669914
2012-02-02,10690.000000,10875.000000,10644.000000,10870.000000,7455.011719,3653506
2012-02-03,10820.000000,10950.000000,10805.000000,10950.000000,7509.880859,3399515
2012-02-06,10876.000000,10995.000000,10716.000000,10802.000000,7408.374512,2397532
2012-02-07,10713.000000,10926.000000,10713.000000,10855.000000,7444.725098,2241517
2012-02-08,10855.000000,10948.000000,10825.000000,10936.000000,7500.278320,3610117
2012-02-09,10949.000000,11055.000000,10887.000000,10990.000000,7537.312988,3871309
2012-02-10,10940.000000,10988.000000,10747.000000,10844.000000,7437.181152,2658049
2012-02-13,10865.000000,11039.000000,10811.000000,11000.000000,7544.170898,6071630
2012-02-14,10988.000000,11079.000000,10906.000000,11025.000000,7561.317383,2924364
2012-02-15,11070.000000,11090.000000,11001.000000,11001.000000,7544.855957,3399592
2012-02-16,10999.000000,10999.000000,10799.000000,10870.000000,7455.011719,2930001
2012-02-17,10988.000000,10997.000000,10857.000000,10974.000000,7526.338379,2040963
2012-02-20,11001.000000,11085.000000,11001.000000,11035.000000,7568.174805,1259819
2012-02-21,11002.000000,11067.000000,10909.000000,11020.000000,7557.889648,3115303
2012-02-22,10956.000000,11058.000000,10895.000000,10896.000000,7472.844727,2868887
2012-02-23,10902.000000,11055.000000,10881.000000,11001.000000,7544.855957,3920888
2012-02-24,11145.000000,11145.000000,10925.000000,11048.000000,7577.091309,7018517
2012-02-27,11000.000000,11047.000000,10839.000000,10885.000000,7465.300293,3662902
2012-02-28,10870.000000,11097.000000,10870.000000,10975.000000,7527.024414,2916084
2012-02-29,11040.000000,11117.000000,10974.000000,11056.000000,7582.577637,4642360
2012-03-01,11000.000000,11128.000000,10980.000000,11110.000000,7619.613770,4775425
2012-03-02,11135.000000,11138.000000,10961.000000,10990.000000,7537.312988,4921156
2012-03-05,10965.000000,10995.000000,10864.000000,10899.000000,7474.901367,3517905
2012-03-06,10856.000000,10887.000000,10701.000000,10770.000000,7386.429199,3787213
2012-03-07,10750.000000,10826.000000,10711.000000,10799.000000,7406.317383,3082018
2012-03-08,10881.000000,10950.000000,10785.000000,10890.000000,7468.729004,2923667
2012-03-09,10890.000000,10990.000000,10830.000000,10948.000000,7508.507324,3759759
2012-03-12,10825.000000,11036.000000,10789.000000,10900.000000,7475.588867,3720696
2012-03-13,10984.000000,11048.000000,10945.000000,11001.000000,7544.855957,4649913
2012-03-14,11034.000000,11184.000000,11034.000000,11110.000000,7619.613770,5679697
2012-03-15,11120.000000,11406.000000,11100.000000,11295.000000,7746.492188,9937687
2012-03-16,11301.000000,11520.000000,11301.000000,11355.000000,7787.640625,10515409
2012-03-19,11425.000000,11425.000000,11221.000000,11250.000000,7715.627930,3239339
2012-03-20,11287.000000,11341.000000,11190.000000,11190.000000,7674.479492,3264345
2012-03-21,11190.000000,11190.000000,11190.000000,11190.000000,7674.479492,0
2012-03-22,11200.000000,11279.000000,10990.000000,11060.000000,7585.320313,4366101
2012-03-23,11100.000000,11218.000000,11047.000000,11189.000000,7673.794922,4117383
2012-03-26,10950.000000,11247.000000,10835.000000,11108.000000,7816.641602,3613172
2012-03-27,11275.000000,11275.000000,11166.000000,11249.000000,7915.864258,2581917
2012-03-28,11195.000000,11250.000000,11126.000000,11126.000000,7829.309570,2183234
2012-03-29,11100.000000,11158.000000,10899.000000,11034.000000,7764.571289,2179887
2012-03-30,11090.000000,11200.000000,11001.000000,11136.000000,7836.347168,4698131
